field	cf4d.spe
 335.034	 16160
 335.035	 16175
 335.036	 16160
 335.037	 16150
 335.039	 16135
 335.040	 16135
 335.041	 16120
 335.042	 16150
 335.043	 16135
 335.044	 16160
 335.046	 16175
 335.047	 16150
 335.048	 16150
 335.049	 16120
 335.050	 16150
 335.051	 16150
 335.053	 16120
 335.054	 16135
 335.055	 16190
 335.056	 16190
 335.057	 16190
 335.058	 16175
 335.060	 16150
 335.061	 16135
 335.062	 16120
 335.063	 16150
 335.064	 16175
 335.065	 16190
 335.067	 16160
 335.068	 16135
 335.069	 16120
 335.070	 16120
 335.071	 16110
 335.073	 16150
 335.074	 16120
 335.075	 16150
 335.076	 16120
 335.077	 16135
 335.078	 16135
 335.080	 16095
 335.081	 16150
 335.082	 16150
 335.083	 16160
 335.084	 16175
 335.085	 16190
 335.087	 16095
 335.088	 16135
 335.089	 16160
 335.090	 16150
 335.091	 16160
 335.092	 16160
 335.094	 16175
 335.095	 16190
 335.096	 16160
 335.097	 16135
 335.098	 16135
 335.099	 16150
 335.101	 16150
 335.102	 16120
 335.103	 16175
 335.104	 16135
 335.105	 16175
 335.107	 16190
 335.108	 16175
 335.109	 16135
 335.110	 16095
 335.111	 16135
 335.112	 16215
 335.114	 16175
 335.115	 16150
 335.116	 16150
 335.117	 16110
 335.118	 16070
 335.119	 16120
 335.121	 16135
 335.122	 16120
 335.123	 16150
 335.124	 16160
 335.125	 16175
 335.126	 16215
 335.128	 16200
 335.129	 16150
 335.130	 16175
 335.131	 16160
 335.132	 16150
 335.133	 16150
 335.135	 16160
 335.136	 16160
 335.137	 16150
 335.138	 16175
 335.139	 16190
 335.141	 16150
 335.142	 16110
 335.143	 16120
 335.144	 16095
 335.145	 16120
 335.146	 16135
 335.148	 16135
 335.149	 16160
 335.150	 16160
 335.151	 16215
 335.152	 16190
 335.153	 16150
 335.155	 16150
 335.156	 16160
 335.157	 16135
 335.158	 16135
 335.159	 16150
 335.160	 16150
 335.162	 16135
 335.163	 16150
 335.164	 16120
 335.165	 16095
 335.166	 16110
 335.167	 16095
 335.169	 16135
 335.170	 16150
 335.171	 16150
 335.172	 16150
 335.173	 16120
 335.175	 16160
 335.176	 16150
 335.177	 16160
 335.178	 16150
 335.179	 16095
 335.180	 16120
 335.182	 16135
 335.183	 16135
 335.184	 16120
 335.185	 16110
 335.186	 16095
 335.187	 16120
 335.189	 16135
 335.190	 16135
 335.191	 16110
 335.192	 16135
 335.193	 16150
 335.194	 16175
 335.196	 16160
 335.197	 16135
 335.198	 16135
 335.199	 16120
 335.200	 16120
 335.201	 16120
 335.203	 16120
 335.204	 16095
 335.205	 16135
 335.206	 16110
 335.207	 16135
 335.209	 16175
 335.210	 16150
 335.211	 16110
 335.212	 16095
 335.213	 16110
 335.214	 16110
 335.216	 16080
 335.217	 16080
 335.218	 16080
 335.219	 16070
 335.220	 16095
 335.221	 16080
 335.223	 16070
 335.224	 16095
 335.225	 16095
 335.226	 16110
 335.227	 16110
 335.228	 16160
 335.230	 16150
 335.231	 16135
 335.232	 16135
 335.233	 16110
 335.234	 16095
 335.235	 16080
 335.237	 16080
 335.238	 16095
 335.239	 16120
 335.240	 16150
 335.241	 16135
 335.242	 16120
 335.244	 16135
 335.245	 16110
 335.246	 16120
 335.247	 16150
 335.248	 16135
 335.250	 16135
 335.251	 16110
 335.252	 16120
 335.253	 16120
 335.254	 16120
 335.255	 16110
 335.257	 16120
 335.258	 16160
 335.259	 16160
 335.260	 16135
 335.261	 16120
 335.262	 16120
 335.264	 16135
 335.265	 16175
 335.266	 16150
 335.267	 16150
 335.268	 16135
 335.269	 16095
 335.271	 16120
 335.272	 16095
 335.273	 16110
 335.274	 16095
 335.275	 16080
 335.276	 16110
 335.278	 16110
 335.279	 16120
 335.280	 16095
 335.281	 16080
 335.282	 16095
 335.284	 16120
 335.285	 16160
 335.286	 16135
 335.287	 16120
 335.288	 16110
 335.289	 16110
 335.291	 16095
 335.292	 16120
 335.293	 16110
 335.294	 16120
 335.295	 16110
 335.296	 16080
 335.298	 16080
 335.299	 16110
 335.300	 16120
 335.301	 16120
 335.302	 16120
 335.303	 16135
 335.305	 16150
 335.306	 16150
 335.307	 16160
 335.308	 16135
 335.309	 16160
 335.310	 16150
 335.312	 16135
 335.313	 16120
 335.314	 16135
 335.315	 16095
 335.316	 16080
 335.318	 16120
 335.319	 16120
 335.320	 16110
 335.321	 16120
 335.322	 16150
 335.323	 16150
 335.325	 16135
 335.326	 16175
 335.327	 16160
 335.328	 16120
 335.329	 16095
 335.330	 16070
 335.332	 16110
 335.333	 16120
 335.334	 16160
 335.335	 16120
 335.336	 16120
 335.337	 16120
 335.339	 16135
 335.340	 16150
 335.341	 16135
 335.342	 16110
 335.343	 16110
 335.344	 16110
 335.346	 16120
 335.347	 16120
 335.348	 16120
 335.349	 16095
 335.350	 16135
 335.352	 16175
 335.353	 16175
 335.354	 16135
 335.355	 16120
 335.356	 16110
 335.357	 16120
 335.359	 16135
 335.360	 16150
 335.361	 16135
 335.362	 16135
 335.363	 16150
 335.364	 16135
 335.366	 16135
 335.367	 16150
 335.368	 16135
 335.369	 16160
 335.370	 16110
 335.371	 16095
 335.373	 16120
 335.374	 16120
 335.375	 16110
 335.376	 16135
 335.377	 16120
 335.378	 16135
 335.380	 16135
 335.381	 16110
 335.382	 16110
 335.383	 16120
 335.384	 16150
 335.385	 16160
 335.387	 16160
 335.388	 16160
 335.389	 16175
 335.390	 16160
 335.391	 16110
 335.393	 16110
 335.394	 16095
 335.395	 16120
 335.396	 16120
 335.397	 16120
 335.398	 16095
 335.400	 16110
 335.401	 16150
 335.402	 16175
 335.403	 16135
 335.404	 16070
 335.405	 16080
 335.407	 16150
 335.408	 16150
 335.409	 16120
 335.410	 16150
 335.411	 16150
 335.412	 16135
 335.414	 16110
 335.415	 16120
 335.416	 16135
 335.417	 16175
 335.418	 16190
 335.419	 16160
 335.421	 16160
 335.422	 16135
 335.423	 16150
 335.424	 16135
 335.425	 16135
 335.427	 16160
 335.428	 16175
 335.429	 16135
 335.430	 16150
 335.431	 16150
 335.432	 16120
 335.434	 16135
 335.435	 16175
 335.436	 16160
 335.437	 16135
 335.438	 16120
 335.439	 16135
 335.441	 16150
 335.442	 16150
 335.443	 16120
 335.444	 16120
 335.445	 16150
 335.446	 16160
 335.448	 16150
 335.449	 16150
 335.450	 16135
 335.451	 16120
 335.452	 16135
 335.453	 16135
 335.455	 16120
 335.456	 16135
 335.457	 16120
 335.458	 16120
