field	cf1a.spe
 334.939	 16390
 334.940	 16400
 334.941	 16400
 334.942	 16400
 334.944	 16415
 334.945	 16430
 334.946	 16400
 334.947	 16430
 334.948	 16430
 334.949	 16415
 334.951	 16400
 334.952	 16390
 334.953	 16400
 334.954	 16400
 334.955	 16375
 334.956	 16390
 334.958	 16390
 334.959	 16360
 334.960	 16375
 334.961	 16375
 334.962	 16390
 334.964	 16390
 334.965	 16400
 334.966	 16415
 334.967	 16415
 334.968	 16390
 334.969	 16390
 334.971	 16375
 334.972	 16415
 334.973	 16430
 334.974	 16430
 334.975	 16430
 334.976	 16455
 334.978	 16455
 334.979	 16430
 334.980	 16430
 334.981	 16440
 334.982	 16440
 334.983	 16440
 334.985	 16415
 334.986	 16400
 334.987	 16415
 334.988	 16440
 334.989	 16440
 334.990	 16440
 334.992	 16415
 334.993	 16390
 334.994	 16400
 334.995	 16415
 334.996	 16440
 334.998	 16415
 334.999	 16430
 335.000	 16400
 335.001	 16400
 335.002	 16440
 335.003	 16470
 335.005	 16440
 335.006	 16455
 335.007	 16480
 335.008	 16480
 335.009	 16440
 335.010	 16440
 335.012	 16430
 335.013	 16400
 335.014	 16400
 335.015	 16440
 335.016	 16430
 335.017	 16440
 335.019	 16440
 335.020	 16455
 335.021	 16455
 335.022	 16455
 335.023	 16440
 335.024	 16455
 335.026	 16455
 335.027	 16480
 335.028	 16470
 335.029	 16470
 335.030	 16440
 335.032	 16455
 335.033	 16455
 335.034	 16470
 335.035	 16470
 335.036	 16455
 335.037	 16440
 335.039	 16430
 335.040	 16455
 335.041	 16455
 335.042	 16495
 335.043	 16480
 335.044	 16470
 335.046	 16440
 335.047	 16430
 335.048	 16455
 335.049	 16455
 335.050	 16455
 335.051	 16455
 335.053	 16440
 335.054	 16480
 335.055	 16470
 335.056	 16480
 335.057	 16455
 335.058	 16455
 335.060	 16470
 335.061	 16470
 335.062	 16440
 335.063	 16480
 335.064	 16495
 335.065	 16480
 335.067	 16470
 335.068	 16455
 335.069	 16440
 335.070	 16470
 335.071	 16495
 335.073	 16480
 335.074	 16470
 335.075	 16430
 335.076	 16470
 335.077	 16470
 335.078	 16440
 335.080	 16455
 335.081	 16470
 335.082	 16480
 335.083	 16470
 335.084	 16440
 335.085	 16455
 335.087	 16470
 335.088	 16470
 335.089	 16455
 335.090	 16480
 335.091	 16480
 335.092	 16455
